latitude,longitude,type,name,number,postal_code,street,confidence,region,region_code,county,locality,administrative_area,neighbourhood,country,country_code,continent,label,location,map_url
48.095416,9.790192,locality,Biberach an der Riss,,,,1.0,Baden-Württemberg,BW,Biberach,Biberach an der Riss,Biberach an der Riß,,Germany,DEU,Europe,"Biberach an der Riss, BW, Germany",Biberach,
52.391468,13.28573,locality,Teltow,,,,1.0,Brandenburg,BB,Potsdam-Mittelmark,Teltow,Teltow,,Germany,DEU,Europe,"Teltow, BB, Germany",Teltow,
51.543046,9.93664,locality,Göttingen,,,,1.0,Lower Saxony,NI,Göttingen,Göttingen,Göttingen,,Germany,DEU,Europe,"Göttingen, NI, Germany",Göttingen,
48.945939,8.38468,locality,Ettlingen,,,,1.0,Baden-Württemberg,BW,Karlsruhe,Ettlingen,Ettlingen,,Germany,DEU,Europe,"Ettlingen, BW, Germany",Ettlingen,
52.423458,10.759152,locality,Wolfsburg,,,,1.0,Lower Saxony,NI,Wolfsburg,Wolfsburg,Wolfsburg,,Germany,DEU,Europe,"Wolfsburg, NI, Germany",Wolfsburg,
50.982915,11.026063,locality,Erfurt,,,,1.0,Thuringia,TH,Erfurt,Erfurt,Erfurt,,Germany,DEU,Europe,"Erfurt, TH, Germany",Erfurt,
50.36342,6.611216,locality,Esch,,,,1.0,Rhineland-Palatinate,RP,Vulkaneifel,Esch,Obere Kyll,,Germany,DEU,Europe,"Esch, RP, Germany",Waldems-Esch,
49.475368,8.426544,locality,Ludwigshafen am Rhein,,,,1.0,Rhineland-Palatinate,RP,Ludwigshafen am Rhein,Ludwigshafen am Rhein,Ludwigshafen am Rhein,,Germany,DEU,Europe,"Ludwigshafen am Rhein, RP, Germany",Ludwigshafen,
48.707181,9.000288,locality,Sindelfingen,,,,1.0,Baden-Württemberg,BW,Böblingen,Sindelfingen,Sindelfingen,,Germany,DEU,Europe,"Sindelfingen, BW, Germany",Sindelfingen,
48.819138,8.737415,locality,Pforzheim,,,,1.0,Baden-Württemberg,BW,Enzkreis,Pforzheim,Tiefenbronn,,Germany,DEU,Europe,"Pforzheim, BW, Germany",Pforzheim,
48.719101,9.268924,locality,Ostfildern,,,,1.0,Baden-Württemberg,BW,Esslingen,Ostfildern,Ostfildern,,Germany,DEU,Europe,"Ostfildern, BW, Germany",Ostfildern,
52.272012,10.625469,locality,Braunschweig,,,,1.0,Lower Saxony,NI,Wolfenbuttel,Braunschweig,Cremlingen,,Germany,DEU,Europe,"Braunschweig, NI, Germany",Braunschweig,
50.83382,12.912219,locality,Chemnitz,,,,1.0,Saxony,SN,Chemnitz,Chemnitz,Chemnitz,,Germany,DEU,Europe,"Chemnitz, SN, Germany",Chemnitz,
51.15132,14.973005,locality,Görlitz,,,,1.0,Saxony,SN,Görlitz,Görlitz,Görlitz,,Germany,DEU,Europe,"Görlitz, SN, Germany",Görlitz,
